Gene,ADL,AFD,AIN,AIY,ASEL,ASER
WBGene00000105,0.74360851,1.018098814,1.216793911,1.08372007,0.055568412,1.030722058
WBGene00000106,1.43496652,1.955577464,1.666584044,0.162734732,0.406109153,1.296855396
WBGene00000107,0.082151054,0.662951817,0.879358404,0.147568475,0.103584291,0.279781695
WBGene00000108,0.19286404,0,0.507181267,0,0.105645081,0.233320648
WBGene00000109,2.140429815,6.394989278,0.27774827,0.378074414,2.547570113,1.249823432
WBGene00000110,0.539926732,0.519344988,0.898047578,1.222650935,0.498363875,0.370499733
WBGene00000111,1.265511249,0.557192203,1.033340058,1.70139738,1.927432678,0.574150752
WBGene00000112,0.560566384,2.066612483,0.498347984,1.507101265,0.784669671,2.863344337
WBGene00000113,0.748481879,0.110937427,0.398523758,0.26736275,0.799704186,0.852844632
WBGene00000114,0.501497516,0.746274622,1.760565144,0.856228221,0.850474106,1.079807021
WBGene00000115,1.106923462,0.117990159,0.608890598,1.71772659,0.236308113,1.208365028
WBGene00000116,0.48257712,2.287447245,3.022594973,0.516265871,0.648725454,1.982530705
WBGene00000117,0.907354713,0.874139699,0.663386812,1.804539577,1.284772734,1.345618807
WBGene00000118,0.617730114,0.499952078,0.611315708,1.229438759,0.674611616,0.755546517
WBGene00000120,0.84229984,0.023968222,0.891287812,0.142341871,0.37612722,1.19953452
WBGene00000121,0.656108091,2.016787104,1.12297851,0.732028547,0.779910752,0.847808858
WBGene00000122,0.862958393,0.566451791,1.21489357,0.894361624,0.901467043,0.987219718
WBGene00000123,0.98944925,1.09327889,1.211878554,0.738556306,1.037245044,0.449850421
WBGene00000133,9.920048982,0,1.937386106,0,0,1.117150332
WBGene00000134,3.620158443,0.761372124,0.239372772,0.112171616,0.107036047,0.89421319
WBGene00000135,5.359966443,2.116276506,0.09266771,0.061069344,0.736196075,0.688550445
WBGene00000136,3.552020742,0.639860203,0.569045935,1.390965119,1.13873217,0.888515617
WBGene00000137,4.107840946,0.109161244,0.094576815,0.231665808,0.488380561,0.115532897
WBGene00000138,0.278608338,0.035582123,0.115118559,0.095649297,0.065807671,0.490320725
WBGene00000139,0.765231473,0.337220676,0.702803363,1.750952863,0.199116073,0.252056953
WBGene00000140,0.841760916,0.476608076,1.549901509,1.278360662,0.673039847,0.645706949
WBGene00000142,0.873943367,1.282751008,1.05599503,1.210153646,0.868302351,1.06669816
WBGene00000143,0.930679723,0.112521327,1.564156184,0.360582703,0.117909084,0.600640034
WBGene00000144,0.498118942,0.575974989,0.362179112,1.723922557,0.719282175,0.57818903
WBGene00000145,0.445423974,1.079486775,0.912383558,0.606265293,2.042842044,0.632499326
WBGene00000146,0.28128924,0.484092725,0.506497664,0.125165714,0.084840649,0.080708497
WBGene00000147,0.736968583,1.760732881,1.505615138,0.140829074,0.03072699,0.759564922
WBGene00000148,0.34038776,0.6933107,1.733423235,0.418502167,0.916094123,2.049105307
WBGene00000149,0.784018088,2.879894592,0.86956426,0.633453562,1.180299858,2.331273545
